@relation higgs

@attribute mll numeric
@attribute mjj numeric
@attribute met-phi_centrality numeric
@attribute mt numeric
@attribute DYjj numeric
@attribute sumMlj numeric
@attribute dphill numeric
@attribute contOLV numeric
@attribute ptTotal numeric
@attribute label {-1, 1}

@data
0.81134,0.27788,0.05805,0.67108,0.50063,0.27659,0.70386,0.57762,0.25557,-1
0.43268,0.24348,0.05132,0.37637,0.32958,0.23755,0.88907,0.50259,0.04176,-1
0.1048,0.03655,0.39656,0.38331,0.11971,0.12157,0.13844,0.22977,0.33813,-1
0.78932,0.15563,0.05011,0.58308,0.22915,0.21526,0.98014,0.41919,0.31463,-1
0.27271,0.0808,0.41175,0.35623,0.18883,0.11458,0.6588,0.42735,0.12831,-1
0.31529,0.25856,0.5363,0.40145,0.23407,0.28351,0.22965,0.58183,0.48057,-1
0.44233,0.0531,0.05277,0.39328,0.21134,0.09789,0.82642,0.50203,0.21636,-1
0.27592,1.24281,0.05875,0.21802,0.66449,0.38895,0.93217,0.14757,0.26073,-1
0.16479,0.12037,0.87318,0.11926,0.34318,0.19644,0.28694,0.95279,0.53363,-1
0.23842,0.13973,0.83576,0.1421,0.4015,0.20615,0.32911,0.7076,0.63093,-1
0.10664,0.23859,0.50009,0.23743,0.50288,0.21794,0.1975,0.57697,0.21098,-1
0.27765,0.09869,0.05139,0.47144,0.25216,0.09516,0.54014,0.54907,0.37854,-1
0.32291,0.15021,0.1091,0.31251,0.18895,0.16273,0.34381,0.65351,0.33977,-1
0.32923,0.06209,0.07761,0.31282,0.17776,0.16129,0.38759,0.81307,0.12439,-1
0.73957,0.28772,0.13995,0.59492,0.42171,0.28635,0.72592,0.26206,0.29359,-1
0.28751,0.79182,0.0559,0.21595,0.52019,0.33817,0.84473,0.4858,0.39551,-1
0.31408,0.08224,0.43884,0.25914,0.24702,0.14188,0.66466,0.18584,0.26957,-1
0.3925,0.68466,0.31061,0.41331,0.46325,0.57699,0.39212,0.48354,0.24415,-1
0.29802,0.76129,0.05132,0.18176,0.72983,0.29603,0.96373,0.03786,0.12186,-1
0.36897,0.43832,0.38572,0.38194,0.61151,0.38662,0.45373,0.6433,0.20286,-1
0.46169,0.08589,0.07992,0.27909,0.15876,0.1393,0.83865,0.51483,0.49846,-1
0.58765,0.15861,0.91245,0.31049,0.4189,0.21759,0.79322,0.33436,0.18754,-1
0.11115,0.11513,0.53981,0.20157,0.22184,0.235,0.0896,0.72803,0.30689,-1
0.28248,0.03781,0.49561,0.40066,0.09862,0.14327,0.36954,0.61056,0.39394,-1
0.22541,0.06574,0.32231,0.22041,0.22937,0.14001,0.35938,0.34124,0.099,-1
0.62925,0.1856,0.05076,0.53778,0.30934,0.20178,0.96872,0.33796,0.30849,-1
0.29689,0.1706,0.04985,0.19503,0.32734,0.13935,0.99169,0.33026,0.07515,-1
0.66378,0.08714,0.05157,0.59559,0.30255,0.16115,0.90232,0.34208,0.41585,-1
0.56982,0.11517,0.05079,0.46754,0.30928,0.16512,0.88832,0.36423,0.50292,-1
0.62878,0.40149,0.05384,0.44982,0.57599,0.32634,0.81919,0.47272,0.04641,-1
0.36027,0.11697,0.04994,0.41471,0.22053,0.14172,0.53834,0.24186,0.07656,-1
0.24928,0.10733,0.06285,0.29391,0.19751,0.11194,0.65761,0.44455,0.24237,-1
0.20317,0.13773,0.14978,0.14287,0.33491,0.11687,0.6835,0.4087,0.1735,-1
0.56796,0.13623,0.26431,0.45189,0.40074,0.20659,0.69906,0.38299,0.05758,-1
0.12378,0.04812,0.38711,0.32778,0.16663,0.14325,0.18996,0.6832,0.29086,-1
0.11315,0.11418,0.50626,0.0836,0.23921,0.16073,0.01939,0.21566,0.57271,-1
0.11958,0.10704,0.49857,0.34266,0.18098,0.1301,0.01521,0.50102,0.16808,-1
0.16704,0.14591,0.48956,0.2065,0.27953,0.17201,0.32208,0.50447,0.38436,-1
0.32322,0.21081,0.07681,0.42966,0.24748,0.19971,0.48789,0.72121,0.09443,-1
0.25244,0.11481,0.47939,0.18953,0.25279,0.10582,0.71997,0.43565,0.31984,-1
0.15293,0.19256,0.05258,0.26092,0.43167,0.13531,0.33637,0.22198,0.21107,-1
0.13478,0.2102,0.15007,0.3736,0.40082,0.26192,0.19123,0.83464,0.27176,-1
0.26586,0.08616,0.94887,0.18352,0.22216,0.10781,0.89326,0.67764,0.69209,-1
